
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 93: New best loss = 0.13866817951202393
Iteration 94: New best loss = 0.13866013288497925
Iteration 95: New best loss = 0.13848309218883514
Iteration 96: New best loss = 0.13730841875076294
Iteration 97: New best loss = 0.13701103627681732
Iteration 98: New best loss = 0.13701091706752777
Iteration 99: New best loss = 0.13679100573062897
Iteration 100: New best loss = 0.136232390999794
Iteration 100: Best current loss = 0.136232390999794
Search completed after 100 iterations.
Best loss found: 0.136232390999794
Total training time: 58.0704 seconds

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (256, 128) ---

Iteration 2: New best loss = 0.4324435889720917
Iteration 3: New best loss = 0.39244335889816284
Iteration 4: New best loss = 0.367704838514328
Iteration 5: New best loss = 0.3359775245189667
Iteration 6: New best loss = 0.3116001784801483
Iteration 7: New best loss = 0.29122304916381836
Iteration 8: New best loss = 0.27397337555885315
Iteration 9: New best loss = 0.2592652440071106
Iteration 10: New best loss = 0.24100689589977264
Iteration 11: New best loss = 0.23375962674617767
Iteration 12: New best loss = 0.22920756042003632
Iteration 13: New best loss = 0.2222704142332077
Iteration 14: New best loss = 0.20706358551979065
Iteration 15: New best loss = 0.2013411968946457
Iteration 16: New best loss = 0.1936229169368744
Iteration 17: New best loss = 0.18639767169952393
Iteration 18: New best loss = 0.18008926510810852
Iteration 19: New best loss = 0.17315052449703217
Iteration 20: New best loss = 0.1682567149400711
Iteration 21: New best loss = 0.1658189445734024
Iteration 22: New best loss = 0.1643088310956955
Iteration 23: New best loss = 0.16086654365062714
Iteration 24: New best loss = 0.15946036577224731
Iteration 25: New best loss = 0.1576438993215561
Iteration 26: New best loss = 0.15654256939888
Iteration 27: New best loss = 0.1555272787809372
Iteration 28: New best loss = 0.1545155942440033
Iteration 29: New best loss = 0.15418462455272675
Iteration 30: New best loss = 0.15360751748085022
Iteration 31: New best loss = 0.15293581783771515
Iteration 32: New best loss = 0.1523096114397049
Iteration 33: New best loss = 0.15198159217834473
Iteration 34: New best loss = 0.15136022865772247
Iteration 35: New best loss = 0.1509532481431961
Iteration 36: New best loss = 0.15045061707496643
Iteration 37: New best loss = 0.14991748332977295
Iteration 38: New best loss = 0.1494130939245224
Iteration 39: New best loss = 0.14889924228191376
Iteration 40: New best loss = 0.1483129858970642
Iteration 41: New best loss = 0.1477816253900528
Iteration 42: New best loss = 0.14726139605045319
Iteration 43: New best loss = 0.14560842514038086
Iteration 44: New best loss = 0.14209780097007751
Iteration 45: New best loss = 0.14159265160560608
Iteration 46: New best loss = 0.14115679264068604
Iteration 47: New best loss = 0.14005440473556519
Iteration 48: New best loss = 0.1393216848373413
Iteration 49: New best loss = 0.13842645287513733
Iteration 50: New best loss = 0.13787154853343964
Iteration 51: New best loss = 0.13700665533542633
Iteration 52: New best loss = 0.13654884696006775
Iteration 53: New best loss = 0.13611054420471191
Iteration 54: New best loss = 0.1354866623878479
Iteration 55: New best loss = 0.13510078191757202
Iteration 56: New best loss = 0.1348193883895874
Iteration 57: New best loss = 0.1343933343887329
Iteration 58: New best loss = 0.1341536045074463
Iteration 59: New best loss = 0.13382214307785034
Iteration 60: New best loss = 0.1336134970188141
Iteration 61: New best loss = 0.13293111324310303
Iteration 62: New best loss = 0.13198240101337433
Iteration 63: New best loss = 0.13162241876125336
Iteration 64: New best loss = 0.131301611661911
Iteration 65: New best loss = 0.13092288374900818
